STATION	STATION_NAME	DATE	TMAX	TMIN
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150122	78	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150121	94	-5
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150120	100	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150119	117	39
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150118	156	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150117	150	39
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150116	122	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150115	67	-10
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150114	89	11
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150113	111	0
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150112	94	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150111	72	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150110	56	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150109	100	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150108	72	17
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150107	106	11
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150106	83	33
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150105	139	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150104	117	33
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150103	50	17
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150102	50	-32
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150101	39	-43
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141231	28	-60
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141230	17	-32
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141229	61	6
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141228	83	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141227	78	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141226	89	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141225	94	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141224	83	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141223	133	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141222	133	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141221	150	100
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141220	150	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141219	117	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141218	100	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141217	83	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141216	89	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141215	100	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141214	106	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141213	89	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141212	117	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141211	178	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141210	133	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141209	111	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141208	100	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141207	111	17
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141206	133	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141205	78	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141204	50	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141203	89	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141202	50	-49
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141201	28	-21
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141130	39	-32
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141129	67	-16
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141128	133	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141127	150	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141126	167	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141125	172	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141124	133	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141123	117	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141122	117	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141121	133	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141120	72	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141119	78	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141118	61	-10
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141117	72	-16
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141116	67	-27
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141115	67	-21
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141114	72	-16
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141113	33	0
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141112	50	0
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141111	83	17
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141110	144	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141109	133	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141108	144	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141107	139	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141106	161	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141105	167	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141104	167	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141103	139	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141102	122	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141101	122	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141031	150	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141030	161	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141029	161	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141028	144	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141027	161	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141026	156	94
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141025	189	89
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141024	133	100
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141023	150	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141022	156	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141021	167	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141020	178	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141019	239	128
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141018	217	139
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141017	167	128
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141016	211	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141015	150	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141014	167	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141013	233	94
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141012	183	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141011	222	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141010	217	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141009	233	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20141008	239	100
