RAILROAD,INCDTNO,HAZMAT,RRCLASS,SHORT_CAUSE,TYPE,ACCDMG
UP,0416SA023,,1,T,1,1637606.0
BNSF,GC0116100,,1,T,1,602657.0
BNSF,TX0116102,,1,H,1,45500.0
CSX,000156092,,1,T,1,38500.0
CSX,000157120,,1,E,1,13517.0
CSX,000157530,,1,E,5,22640.0
CSX,000157530,,1,E,5,22640.0
CSX,000157050,,1,T,1,20032.0
CSX,000156627,,1,M,1,38690.0
BNSF,SF0116103,,1,T,1,35106.0
NS,120304,,1,E,1,49850.0
NS,118770,,1,H,1,26145.0
CSX,000157871,,1,E,11,700000.0
NS,120150,Yes,1,H,1,56738.0
BNSF,SF0116110,,1,H,4,50000.0
BNSF,SF0116110,,1,H,4,50000.0
CSX,000157044,,1,H,12,101621.0
NS,119247,,1,T,1,41800.0
CSX,000156336,,1,T,1,318705.0
NS,119524,,1,H,1,12560.0
CSX,000158583,,1,T,1,29446.0
CSX,000158757,,1,M,12,60000.0
BNSF,GC1006117,,1,T,1,11734.0
BNSF,CH0306102,,1,M,1,9299.0
BNSF,CH0306108,Yes,1,T,1,141009.0
CN,537717,Yes,1,M,1,178852.0
UP,1106EP002,,1,M,7,35281.0
BNSF,CA0606101,,1,M,1,191628.0
BNSF,GC1006116,,1,H,1,45056.0
BNSF,GC1006116,,1,H,1,45056.0
BNSF,CA0606115,Yes,1,H,2,5377730.0
BNSF,CA0106118,Yes,1,H,1,41634.0
CSX,000021734,,1,H,1,17253.0
BNSF,GC1006108,,1,H,12,12103.0
BNSF,KS0206100,,1,H,12,9500.0
BNSF,KS0206101,,1,M,1,222071.0
BNSF,KS0206104,Yes,1,T,1,171301.0
UP,1106UT025,,1,T,1,8499.0
UP,1106HO017,,1,H,12,33600.0
NS,024870,,1,T,1,825584.0
BNSF,CA0206102,,1,T,1,13019.0
BNSF,CA1206100,,1,T,1,12900.0
UP,0406DV025,,1,T,1,8132.0
UP,1106HO035,Yes,1,H,1,34291.0
NS,026570,,1,H,3,300100.0
BNSF,KS0406100,Yes,1,M,1,254146.0
BNSF,KS0206110,,1,H,4,18362.0
UP,0906PD002,,1,H,1,53380.0
BNSF,GC1006111,,1,H,4,12271.0
BNSF,GC1006112,Yes,1,T,1,328930.0
BNSF,GC1006115,,1,T,1,63718.0
UP,0806LK036,,1,T,1,29059.0
BNSF,CA0106133,,1,H,12,29835.0
NS,023891,,1,E,1,10859.0
BNSF,KS0206110,Yes,1,H,4,18362.0
BNSF,CA0606115,,1,H,2,5377730.0
BNSF,CA0606129,,1,M,1,11000.0
NS,023892,,1,H,5,10300.0
UP,0806CB001,,1,H,1,39634.0
UP,0806CB004,,1,T,1,27669.0
CN,529669,Yes,1,M,1,132940.0
CN,529669,,1,M,1,132940.0
UP,0806LK043,,1,H,9,27075.0
UP,0806LK049,,1,T,1,8235.0
UP,0806LK051,,1,M,1,8503.0
BNSF,CH0506104,,1,M,12,10596.0
